/Users/z5241339/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-12-17 11:43:59,468 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/christoph-arns
2025-12-17 11:44:01,473 - INFO - [30/649] 爬取: Dr Annie Gilda Roselin Arockia Baskaran
2025-12-17 11:44:01,538 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/annie-gilda-roselin-arockia-baskaran
2025-12-17 11:44:01,538 - INFO - 中间保存进度: 30/649 | 成功: 30, 失败: 0
2025-12-17 11:44:03,549 - INFO - [31/649] 爬取: Dr Felipe Arrano Vargas
2025-12-17 11:44:03,617 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/felipe-arrano-vargas
2025-12-17 11:44:05,622 - INFO - [32/649] 爬取: Professor Seher Ata
2025-12-17 11:44:05,723 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/seher-ata
2025-12-17 11:44:07,728 - INFO - [33/649] 爬取: Associate Professor Shaghik Atakaramians
2025-12-17 11:44:07,851 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/shaghik-atakaramians
2025-12-17 11:44:09,856 - INFO - [34/649] 爬取: Dr Elena Atroshchenko
2025-12-17 11:44:09,938 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/elena-atroshchenko
2025-12-17 11:44:11,943 - INFO - [35/649] 爬取: Dr Manuj Awasthi
2025-12-17 11:44:12,406 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/manuj-awasthi
2025-12-17 11:44:14,411 - INFO - [36/649] 爬取: Professor Haris Aziz
2025-12-17 11:44:14,621 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/haris-aziz
2025-12-17 11:44:16,626 - INFO - [37/649] 爬取: Dr Firoozeh Babayekhorasani
2025-12-17 11:44:16,689 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/firoozeh-babayekhorasani
2025-12-17 11:44:18,694 - INFO - [38/649] 爬取: Dr Juan Baena Vargas
2025-12-17 11:44:19,426 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/juan-baena-vargas
2025-12-17 11:44:21,431 - INFO - [39/649] 爬取: Dr Michael Bain
2025-12-17 11:44:21,521 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/michael-bain
2025-12-17 11:44:23,526 - INFO - [40/649] 爬取: Mr Ali Bakhshi
2025-12-17 11:44:23,919 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ali-bakhshi
2025-12-17 11:44:23,919 - INFO - 中间保存进度: 40/649 | 成功: 40, 失败: 0
2025-12-17 11:44:25,930 - INFO - [41/649] 爬取: Dr Sara Ballouz
2025-12-17 11:44:26,019 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/sara-ballouz
2025-12-17 11:44:28,024 - INFO - [42/649] 爬取: Professor Jie Bao
2025-12-17 11:44:28,408 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/jie-bao
2025-12-17 11:44:30,413 - INFO - [43/649] 爬取: Dr Khalegh Barati
2025-12-17 11:44:30,479 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/khalegh-barati
2025-12-17 11:44:32,484 - INFO - [44/649] 爬取: Professor Tracie Barber
2025-12-17 11:44:32,665 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/tracie-barber
2025-12-17 11:44:34,670 - INFO - [45/649] 爬取: Associate Professor Gustavo Batista
2025-12-17 11:44:34,787 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/gustavo-batista
2025-12-17 11:44:36,792 - INFO - [46/649] 爬取: Dr Nicholas Bedford
2025-12-17 11:44:36,915 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/nicholas-bedford
2025-12-17 11:44:38,920 - INFO - [47/649] 爬取: Associate Professor Susann Beier
2025-12-17 11:44:39,008 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/susann-beier
2025-12-17 11:44:41,013 - INFO - [48/649] 爬取: Dr Matt Berrington
2025-12-17 11:44:41,068 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/matt-berrington
2025-12-17 11:44:43,073 - INFO - [49/649] 爬取: Dr Binayak Bhandari
2025-12-17 11:44:43,523 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/binayak-bhandari
2025-12-17 11:44:45,528 - INFO - [50/649] 爬取: Dr Asal Bidarmaghz
2025-12-17 11:44:45,616 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/asal-bidarmaghz
2025-12-17 11:44:45,616 - INFO - 中间保存进度: 50/649 | 成功: 50, 失败: 0
2025-12-17 11:44:47,631 - INFO - [51/649] 爬取: Professor Lynne Bilston
2025-12-17 11:44:47,844 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/lynne-bilston
2025-12-17 11:44:49,849 - INFO - [52/649] 爬取: Dr Alan Blair
2025-12-17 11:44:49,934 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/alan-blair
2025-12-17 11:44:51,939 - INFO - [53/649] 爬取: Dr Valentin Bobrin
2025-12-17 11:44:52,002 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/valentin-bobrin
2025-12-17 11:44:54,007 - INFO - [54/649] 爬取: Associate Professor Pietro Borghesani
2025-12-17 11:44:54,630 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/pietro-borghesani
2025-12-17 11:44:56,635 - INFO - [55/649] 爬取: Dr Ghislain Bournival
2025-12-17 11:44:56,724 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ghislain-bournival
2025-12-17 11:44:58,729 - INFO - [56/649] 爬取: Professor Cyrille Boyer
2025-12-17 11:44:58,985 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/cyrille-boyer
2025-12-17 11:45:00,990 - INFO - [57/649] 爬取: Emeritus Professor Mark Bradford
2025-12-17 11:45:01,342 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/mark-bradford
2025-12-17 11:45:03,347 - INFO - [58/649] 爬取: Dr Matthew Brand
2025-12-17 11:45:03,424 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/matthew-brand
2025-12-17 11:45:05,428 - INFO - [59/649] 爬取: Associate Professor Stephen Bremner
2025-12-17 11:45:05,554 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/stephen-bremner
2025-12-17 11:45:07,559 - INFO - [60/649] 爬取: Associate Professor Matthew Brodie
2025-12-17 11:45:07,664 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/matthew-brodie
2025-12-17 11:45:07,664 - INFO - 中间保存进度: 60/649 | 成功: 60, 失败: 0
2025-12-17 11:45:09,682 - INFO - [61/649] 爬取: Dr Sonya Brown
2025-12-17 11:45:09,749 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/sonya-brown
2025-12-17 11:45:11,754 - INFO - [62/649] 爬取: Associate Professor Anna Bruce
2025-12-17 11:45:11,916 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/anna-bruce
2025-12-17 11:45:13,921 - INFO - [63/649] 爬取: Dr Erik Buchholz
2025-12-17 11:45:13,989 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/erik-buchholz
2025-12-17 11:45:15,994 - INFO - [64/649] 爬取: Associate Professor Patrick Burr
2025-12-17 11:45:16,093 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/patrick-burr
2025-12-17 11:45:18,098 - INFO - [65/649] 爬取: Dr Graeme Bushell
2025-12-17 11:45:18,547 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/graeme-bushell
2025-12-17 11:45:20,552 - INFO - [66/649] 爬取: Ms Anna Cain
2025-12-17 11:45:20,994 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/anna-cain
2025-12-17 11:45:22,997 - INFO - [67/649] 爬取: Dr Jared Campbell
2025-12-17 11:45:23,643 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/jared-campbell
2025-12-17 11:45:25,646 - INFO - [68/649] 爬取: Mr Deniz Ekin Canbay
2025-12-17 11:45:25,700 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/deniz-ekin-canbay
2025-12-17 11:45:27,705 - INFO - [69/649] 爬取: Professor Ismet Canbulat
2025-12-17 11:45:27,820 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ismet-canbulat
2025-12-17 11:45:29,822 - INFO - [70/649] 爬取: Dr Xin Cao
2025-12-17 11:45:29,916 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/xin-cao
2025-12-17 11:45:29,916 - INFO - 中间保存进度: 70/649 | 成功: 70, 失败: 0
2025-12-17 11:45:31,936 - INFO - [71/649] 爬取: Dr Charlie Cao
2025-12-17 11:45:32,003 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/charlie-cao
2025-12-17 11:45:34,008 - INFO - [72/649] 爬取: Professor Robert Care
2025-12-17 11:45:34,072 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/robert-care
2025-12-17 11:45:36,077 - INFO - [73/649] 爬取: Mr James Carley
2025-12-17 11:45:36,755 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/james-carley
2025-12-17 11:45:38,760 - INFO - [74/649] 爬取: Emeritus Professor David Carmichael
2025-12-17 11:45:38,947 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/david-carmichael
2025-12-17 11:45:40,952 - INFO - [75/649] 爬取: Dr German Castro Donoso
2025-12-17 11:45:41,337 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/german-castro-donoso
2025-12-17 11:45:43,342 - INFO - [76/649] 爬取: Mr Duncan Chalmers
2025-12-17 11:45:43,789 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/duncan-chalmers
2025-12-17 11:45:45,794 - INFO - [77/649] 爬取: Dr Shaun Chan
2025-12-17 11:45:46,517 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/shaun-chan
2025-12-17 11:45:48,522 - INFO - [78/649] 爬取: Dr Catherine Chan
2025-12-17 11:45:49,245 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/catherine-chan
2025-12-17 11:45:51,245 - INFO - [79/649] 爬取: Dr Kok Wai Chan
2025-12-17 11:45:51,311 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/kok-wai-chan
2025-12-17 11:45:53,316 - INFO - [80/649] 爬取: Dr King Yuk Chan
2025-12-17 11:45:53,400 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/king-yuk-chan
2025-12-17 11:45:53,400 - INFO - 中间保存进度: 80/649 | 成功: 80, 失败: 0
2025-12-17 11:45:55,421 - INFO - [81/649] 爬取: Dr Ronald Ting Tai Chan
2025-12-17 11:45:55,483 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ronald-ting-tai-chan
2025-12-17 11:45:57,487 - INFO - [82/649] 爬取: Professor Rona Chandrawati
2025-12-17 11:45:57,610 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/rona-chandrawati
2025-12-17 11:45:59,615 - INFO - [83/649] 爬取: Associate Professor Shery Chang
2025-12-17 11:45:59,715 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/shery-chang
2025-12-17 11:46:01,720 - INFO - [84/649] 爬取: Dr Nathan Chang
2025-12-17 11:46:01,812 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/nathan-chang
2025-12-17 11:46:03,817 - INFO - [85/649] 爬取: Mr Wenkai Chang
2025-12-17 11:46:04,314 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/wenkai-chang
2025-12-17 11:46:06,319 - INFO - [86/649] 爬取: Dr James Charlesworth
2025-12-17 11:46:06,379 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/james-charlesworth
2025-12-17 11:46:08,384 - INFO - [87/649] 爬取: Dr Akshansha Chauhan
2025-12-17 11:46:08,872 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/akshansha-chauhan
2025-12-17 11:46:10,877 - INFO - [88/649] 爬取: Dr Guo Chen
2025-12-17 11:46:10,990 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/guo-chen
2025-12-17 11:46:12,995 - INFO - [89/649] 爬取: Dr Ran Chen
2025-12-17 11:46:13,084 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ran-chen
2025-12-17 11:46:15,089 - INFO - [90/649] 爬取: Mr Jay Chen
2025-12-17 11:46:15,195 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/jay-chen
2025-12-17 11:46:15,195 - INFO - 中间保存进度: 90/649 | 成功: 90, 失败: 0
2025-12-17 11:46:17,217 - INFO - [91/649] 爬取: Dr Zhixi Chen
2025-12-17 11:46:17,320 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/zhixi-chen
2025-12-17 11:46:19,325 - INFO - [92/649] 爬取: Dr Siyuan Chen
2025-12-17 11:46:19,393 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/siyuan-chen
2025-12-17 11:46:21,398 - INFO - [93/649] 爬取: Dr Xiaojun Chen
2025-12-17 11:46:21,937 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/xiaojun-chen
2025-12-17 11:46:23,942 - INFO - [94/649] 爬取: Dr Daniel Chen
2025-12-17 11:46:24,462 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/daniel-chen1
2025-12-17 11:46:26,467 - INFO - [95/649] 爬取: Dr Chi David Cheng
2025-12-17 11:46:26,535 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/chi--david--cheng
